species,trait
Alle_alle,-1.1266410958964688
Pinguinus_impennis,12.607747461517668
Alca_torda,3.6143881852922615
Uria_lomvia,11.848622740776658
Uria_aalge,15.406657390539468
Cepphus_grylle,8.143472050566059
Cepphus_columba,5.785621089695467
Brachyramphus_marmoratus,6.509927458859523
Brachyramphus_brevirostris,5.590572951070749
Synthliboramphus_hypoleucus,5.306358437305871
Synthliboramphus_craveri,4.232553923463422
Synthliboramphus_antiquus,2.886321942290115
Ptychoramphus_aleuticus,-2.752509115899609
Aethia_psittacula,-3.4767657724354004
Aethia_cristatella,-2.102673219452207
Aethia_pusilla,-2.9582170009588573
Aethia_pygmaea,-2.5461399264506017
Cerorhinca_monocerata,1.4271603186528545
Fratercula_arctica,-22.06782528928233
Fratercula_corniculata,-24.710569314824237
Fratercula_cirrhata,-21.618063214830414
