species,trait
ahli,4.039125
alayoni,3.815705
alfaroi,3.526655
aliniger,4.036557
allisoni,4.37539
allogus,4.040138
altitudinalis,3.842994
alumina,3.588941
alutaceus,3.554891
angusticeps,3.788595
argenteolus,3.971307
argillaceus,3.757869
armouri,4.121684
bahorucoensis,3.827445
baleatus,5.053056
baracoae,5.04278
barahonae,5.076958
barbatus,5.003946
barbouri,3.663932
bartschi,4.280547
bremeri,4.113371
breslini,4.051111
brevirostris,3.874155
caudalis,3.911743
centralis,3.697941
chamaeleonides,5.042349
chlorocyanus,4.275448
christophei,3.884652
clivicola,3.758726
coelestinus,4.297965
confusus,3.938442
cooki,4.091535
cristatellus,4.18982
cupeyalensis,3.462014
cuvieri,4.875012
cyanopleurus,3.630161
cybotes,4.210982
darlingtoni,4.302036
distichus,3.928796
dolichocephalus,3.90855
equestris,5.113994
etheridgei,3.657991
eugenegrahami,4.128504
evermanni,4.165605
fowleri,4.28878
garmani,4.769473
grahami,4.154274
guafe,3.877457
guazuma,3.763884
gundlachi,4.188105
haetianus,4.316542
hendersoni,3.859835
homolechis,4.032806
imias,4.099687
inexpectatus,3.537439
insolitus,3.800471
isolepis,3.657088
jubar,3.952605
krugi,3.8865
lineatopus,4.128612
longitibialis,4.242103
lucius,4.198915
luteogularis,5.101085
macilentus,3.715765
marcanoi,4.079485
marron,3.83181
mestrei,3.987147
monticola,3.770613
noblei,5.083473
occultus,3.663049
olssoni,3.793899
opalinus,3.838376
ophiolepis,3.637962
oporinus,3.84567
paternus,3.802961
placidus,3.773967
poncensis,3.820378
porcatus,4.258991
porcus,5.038034
pulchellus,3.799022
pumilus,3.46686
quadriocellifer,3.901619
reconditus,4.482607
ricordii,5.013963
rubribarbus,4.078469
sagrei,4.067162
semilineatus,3.696631
sheplani,3.682924
shrevei,3.983003
singularis,4.057997
smallwoodi,5.035096
strahmi,4.274271
stratulus,3.869881
valencienni,4.321524
vanidicus,3.626206
vermiculatus,4.802849
websteri,3.916546
whitemani,4.097479
antonii,3.837299
auratus,3.828641
fuscoauratus,3.76584
maculiventris,3.7612
mariarum,3.918005
peraccae,3.621671
tolimensis,3.858622
gaigei,3.862833
gracilipes,3.862833
granuliceps,3.763523
macrolepis,3.929863
notopholis,3.837299
trachyderma,3.864931
tropidogaster,3.854394
anchicayae,3.910021
chloris,3.966511
ortonii,3.813307
pentaprion,3.925926
sulcifrons,3.998201
calimae,4.048301
euskalerriari,3.977811
heterodermus,4.234107
nicefori,3.996364
bombiceps,4.146304
lynchi,4.053523
lyra,4.079231
poecilopus,4.067316
scypheus,4.012773
vittigerus,4.104295
aequatorialis,4.424847
danieli,4.400603
fasciatus,4.219508
fitchi,4.251348
megalopithecus,4.369448
ventrimaculatus,4.264087
punctatus,4.232656
transversalis,4.266896
antioquiae,4.37827
biporcatus,4.409155
chocorum,4.328098
huilae,4.282206
maculigula,4.600158
fraseri,4.757891
onca,4.462454
apollinaris,4.549657
eulaemus,4.560173
frenatus,4.739701
latifrons,4.68675
princeps,4.784989
