species,trait
Astrapia_mayeri,11
Astrapia_nigra,13
Astrapia_rothschildi,10
Astrapia_splendidissima,21
Astrapia_stephaniae,19
Cicinnurus_regius,26
Diphyllodes_magnificus,18
Diphyllodes_respublica,20
Drepanornis_albertisi,7
Drepanornis_bruijnii,9
Epimachus_fastuosus,20
Epimachus_meyeri,17
Lophorina_superba,13
Lycocorax_pyrrhopterus,0
Manucodia_ater,0
Manucodia_chalybatus,0
Manucodia_comrii,0
Manucodia_jobiensis,0
Paradigalla_brevicauda,0
Paradigalla_carunculata,0
Paradisaea_apoda,14
Paradisaea_decora,17
Paradisaea_guilielmi,18
Paradisaea_minor,17
Paradisaea_raggiana,14
Paradisaea_rubra,22
Paradisaea_rudolphi,7
Parotia_carolae,20
Parotia_lawesii,17
Parotia_sefilata,17
Parotia_wahnesi,20
Phonygammus_keraudrenii,0
Pteridophora_alberti,16
Ptiloris_magnificus,19
Ptiloris_paradiseus,23
Ptiloris_victoriae,21
Seleucidis_melanoleucus,21
Semioptera_wallacii,6
