species,trait
Lepomis_gibbosus,-0.030671224021902255
Lepomis_microlophus,0.016269388522328843
Lepomis_punctatus,-0.026716450815003068
Lepomis_miniatus,0.0075425466197329705
Lepomis_auritus,-0.08006065291282827
Lepomis_marginatus,-0.15286988374190846
Lepomis_megalotis,-0.10132731460617794
Lepomis_humilis,-0.069128756430759
Lepomis_macrochirus,0.0031113039448178448
Lepomis_gulosus,0.26259738097914687
Lepomis_symmetricus,-0.07849624098365471
Lepomis_cyanellus,-0.03594113019760625
Micropterus_coosae,-0.02973092297184543
Micropterus_notius,-0.024198709516285
Micropterus_treculi,-0.023229112047020717
Micropterus_salmoides,-0.12215993235169975
Micropterus_floridanus,0.11269009065236624
Micropterus_punctulatus,0.012121217672920626
Micropterus_dolomieu,-0.1682358862241191
Centrarchus_macropterus,-0.11777856393063857
Enneacanthus_obesus,-0.0035963900863724696
Pomoxis_annularis,-0.03200019396261977
Pomoxis_nigromaculatus,0.09839277702982985
Archoplites_interruptus,0.11189603971038098
Ambloplites_ariommus,0.26349462501957044
Ambloplites_rupestris,0.08558816087457499
Ambloplites_cavifrons,0.10946733675357212
