species,trait
Cyrtodactylus_novaeguineae_1,5.147494477
Cyrtodactylus_robustus,5.075173815
Cyrtodactylus_serratus,5.075173815
Cyrtodactylus_zugi,5.068904202
Cyrtodactylus_tripartitus,4.997212274
Cyrtodactylus_klugei,4.96284463
Cyrtodactylus_salomonensis,4.941642423
Cyrtodactylus_novaeguineae_2,4.934473933
Cyrtodactylus_epiroticus,4.8978398
Cyrtodactylus_louisiadensis,4.890349128
Cyrtodactylus_pronarus,4.882801923
Cyrtodactylus_loriae_2,4.844187086
Cyrtodactylus_novaeguineae_3,4.844187086
Cyrtodactylus_adorus,4.812184355
Cyrtodactylus_tuberculatus,4.787491743
Cyrtodactylus_hoskini,4.718498871
Cyrtodactylus_boreoclivus,4.691347882
Cyrtodactylus_mcdonaldi,4.65396035
Cyrtodactylus_medioclivus,4.634728988
Cyrtodactylus_mimikanus,4.634728988
Cyrtodactylus_sermowaiensis,4.543294782
Cyrtodactylus_arcanus,4.521788577
Cyrtodactylus_capreoloides,4.430816799
Cyrtodactylus_minor,4.276666119
Cyrtodactylus_consobrinus,4.836281907
Cyrtodactylus_trilatofasciatus,4.804021045
Cyrtodactylus_australotitiwangsaensis,4.787491743
Cyrtodactylus_macrotuberculatus,4.787491743
Cyrtodactylus_malayanus,4.762173935
Cyrtodactylus_russelli,4.753590191
Cyrtodactylus_bintangrendah,4.736198448
Cyrtodactylus_pulchellus,4.736198448
Cyrtodactylus_astrum,4.682131227
Cyrtodactylus_slowinskii,4.682131227
Cyrtodactylus_agusanensis,4.65396035
Cyrtodactylus_langkawiensis,4.605170186
Cyrtodactylus_yoshii,4.564348191
Cyrtodactylus_angularis,4.553876892
Cyrtodactylus_aurensis,4.553876892
Cyrtodactylus_grismeri,4.553876892
Cyrtodactylus_redimiculus,4.543294782
Cyrtodactylus_jarujini,4.49980967
Cyrtodactylus_hontreensis,4.48863637
Cyrtodactylus_brevidactylus,4.477336814
Cyrtodactylus_baluensis,4.454347296
Cyrtodactylus_tiomanensis,4.454347296
Cyrtodactylus_darmandvillei,4.442651256
Cyrtodactylus_intermedius,4.442651256
Cyrtodactylus_peguensis,4.442651256
Cyrtodactylus_paradoxus,4.430816799
Cyrtodactylus_tigroides,4.418840608
Cyrtodactylus_annulatus,4.394449155
Cyrtodactylus_interdigitalis,4.382026635
Cyrtodactylus_sworderi,4.382026635
Cyrtodactylus_irregularis,4.369447852
Cyrtodactylus_pantiensis,4.343805422
Cyrtodactylus_pubisulcus,4.343805422
Geckoella_deccanensis,4.33073334
Cyrtodactylus_batucolus,4.317488114
Cyrtodactylus_jellesmae,4.317488114
Cyrtodactylus_jambangan,4.276666119
Cyrtodactylus_quadrivirgatus,4.262679877
Cyrtodactylus_semenanjungensis,4.234106505
Cyrtodactylus_tautbatorum,4.234106505
Cyrtodactylus_elok,4.219507705
Cyrtodactylus_payacola,4.219507705
Cyrtodactylus_oldhami,4.17438727
Cyrtodactylus_gansi,4.143134726
Geckoella_triedra,4.127134385
Cyrtodactylus_annandalei,4.007333185
Cyrtodactylus_feae,3.850147602
Cyrtodactylus_kimberleyensis,3.80666249
Cyrtodactylus_sp_timor,3.80666249
