species,trait
Leggadina_forresti,2.995732274
Leggadina_lakedownensis,2.890371758
Mastacomys_fuscus,4.787491743
Notomys_alexis,3.555348061
Notomys_aquilo,3.688879454
Notomys_cervinus,3.555348061
Notomys_fuscus,3.555348061
Notomys_mitchelli,3.912023005
Pseudomys_albocinereus,3.401197382
Pseudomys_apodemoides,2.995732274
Pseudomys_australis,4.17438727
Pseudomys_bolami,2.708050201
Pseudomys_chapmani,2.48490665
Pseudomys_delicatulus,2.140066163
Pseudomys_desertor,3.401197382
Pseudomys_fieldi,3.80666249
Pseudomys_fumeus,4.094344562
Pseudomys_gracilicaudatus,4.248495242
Pseudomys_hermannsburgensis,2.708050201
Pseudomys_higginsi,4.17438727
Pseudomys_johnsoni,2.48490665
Pseudomys_nanus,4.007333185
Pseudomys_novaehollandiae,3.020424886
Pseudomys_occidentalis,3.555348061
Pseudomys_oralis,4.553876892
Pseudomys_patrius,2.708050201
Pseudomys_shortridgei,4.248495242
Zyzomys_argurus,3.555348061
Zyzomys_maini,4.605170186
Zyzomys_palatalis,4.828313737
Zyzomys_woodwardi,4.905274778
