species,trait
Alpinoscincus_alpinus,4.034397951
Lipinia_cf_longiceps,3.529297384
Lipinia_longiceps,3.613077741
Lobulia_brongersmai,3.884857337
Lobulia_elegans,4.019800598
Lobulia_fortis,3.982153008
Lobulia_huonensis,3.988591813
Lobulia_lobulus,3.95469928
Lobulia_marmorata,3.873490056
Lobulia_sp_Muller_Range,4.046728708
Nubeoscincus_glacialis,3.959669659
Ornithuroscincus_bengaun,3.875981234
Ornithuroscincus_inornatus,3.869324251
Ornithuroscincus_noctua_Morobe_1,3.379973745
Ornithuroscincus_noctua_Morobe_2,3.672241813
Ornithuroscincus_pterophilus,4.02383268
Ornithuroscincus_sabini,3.896401625
Ornithuroscincus_shearmani,4.236278058
Ornithuroscincus_viridis,3.906155827
Palaia_pulchra,3.668963695
Papuascincus_lineage_I,3.920496098
Papuascincus_lineage_II,3.806577016
Papuascincus_lineage_III,3.850682733
Papuascincus_lineage_IV,4.024001813
Papuascincus_lineage_IX,4.090365227
Papuascincus_lineage_V,3.887407359
Papuascincus_lineage_VI,4.101968757
Papuascincus_lineage_VII,4.036907337
Papuascincus_lineage_VIII,4.070742281
Prasinohaema_flavipes,4.283379644
Prasinohaema_prehensicauda,4.108576144
Prasinohaema_semoni,4.21464295
Prasinohaema_virens_Itokama,3.780774719
Prasinohaema_virens_Muyua_Island,3.955848485
