species,trait
Acanthidops_bairdi,2.772588722
Anisognathus_igniventris,3.526360525
Anisognathus_lacrymosus,3.433987204
Anisognathus_melanogenys,3.713572067
Anisognathus_notabilis,3.663561646
Anisognathus_somptuosus,3.784189634
Bangsia_arcaei,3.616308761
Bangsia_aureocincta,3.730501129
Bangsia_edwardsi,3.610917913
Bangsia_melanochlamys,3.615232914
Bangsia_rothschildi,3.71210758
Buthraupis_montana,4.466827236
Buthraupis_wetmorei,4.135166557
Calochaetes_coccineus,3.837299459
Camarhynchus_heliobates,2.890371758
Camarhynchus_pallidus,3.139832618
Camarhynchus_parvulus,2.58021683
Camarhynchus_pauper,2.772588722
Camarhynchus_psittacula,2.928523524
Catamblyrhynchus_diadema,2.648300197
Catamenia_analis,2.48490665
Catamenia_homochroa,2.501435952
Catamenia_inornata,2.595254707
Certhidea_olivacea,2.251291799
Charitospiza_eucosma,1.871802177
Chlorochrysa_calliparaea,2.833213344
Chlorochrysa_nitidissima,2.923161581
Chlorochrysa_phoenicotis,3.08190997
Chlorophanes_spiza,2.944438979
Chlorornis_riefferii,3.970291914
Chrysothlypis_chrysomelas,2.564949357
Chrysothlypis_salmoni,2.525728644
Cissopis_leverianus,4.33073334
Cnemathraupis_aureodorsalis,4.442651256
Cnemathraupis_eximia,4.138361448
Cnemoscopus_rubrirostris,2.890371758
Coereba_flaveola,2.303584593
Compsospiza_baeri,3.481240089
Compsospiza_garleppi,3.831029846
Compsothraupis_loricata,4.283448621
Conirostrum_albifrons,2.701361213
Conirostrum_bicolor,2.351375257
Conirostrum_cinereum,2.174751721
Conirostrum_ferrugineiventre,2.442347035
Conirostrum_leucogenys,1.945910149
Conirostrum_margaritae,2.31944221
Conirostrum_rufum,2.397895273
Conirostrum_sitticolor,2.4765384
Conirostrum_speciosum,2.174751721
Conirostrum_tamarugense,2.351375257
Conothraupis_speculigera,3.218875825
Coryphaspiza_melanotis,2.753660712
Coryphospingus_cucullatus,2.658859957
Coryphospingus_pileatus,2.727852828
Creurgops_dentatus,2.944438979
Creurgops_verticalis,3.17805383
Cyanerpes_caeruleus,2.48490665
Cyanerpes_cyaneus,2.63905733
Cyanerpes_lucidus,2.433613355
Cyanerpes_nitidus,2.197224577
Cyanicterus_cyanicterus,3.526360525
Cypsnagra_hirundinacea,3.446807893
Dacnis_albiventris,2.415913778
Dacnis_cayana,2.564949357
Dacnis_flaviventer,2.564949357
Dacnis_hartlaubi,1.625311262
Dacnis_lineata,2.397895273
Dacnis_nigripes,2.63905733
Dacnis_venusta,2.778819272
Dacnis_viguieri,2.545531272
Diglossa_albilatera,2.286455711
Diglossa_baritula,2.219203484
Diglossa_brunneiventris,2.48490665
Diglossa_caerulescens,2.670002133
Diglossa_carbonaria,2.397895273
Diglossa_cyanea,2.835563521
Diglossa_duidae,2.696652156
Diglossa_glauca,2.48490665
Diglossa_gloriosa,2.397895273
Diglossa_gloriosissima,2.63905733
Diglossa_humeralis,2.575661013
Diglossa_indigotica,2.617395833
Diglossa_lafresnayii,2.772588722
Diglossa_major,3.100092289
Diglossa_mystacalis,2.785011242
Diglossa_plumbea,2.302585093
Diglossa_sittoides,2.197224577
Diglossa_venezuelensis,2.529720666
Diuca_diuca,3.605497845
Diuca_speculifera,3.659450643
Dolospingus_fringilloides,2.540814282
Donacospiza_albifrons,2.803360381
Dubusia_castaneoventris,3.33220451
Dubusia_taeniata,3.610917913
Emberizoides_duidae,3.157425863
Emberizoides_herbicola,3.316002536
Emberizoides_ypiranganus,3.000719815
Embernagra_platensis,3.817712326
Eucometis_penicillata,3.295836866
Euneornis_campestris,2.772588722
Geospiza_conirostris,3.317815773
Geospiza_difficilis,2.509599262
Geospiza_fortis,3.17805383
Geospiza_fuliginosa,2.674148649
Geospiza_magnirostris,3.540959324
Geospiza_scandens,3.122364924
Gubernatrix_cristata,3.862832761
Haplospiza_rustica,2.747270914
Haplospiza_unicolor,2.726544784
Hemispingus_atropileus,3.091042453
Hemispingus_calophrys,2.961658293
Hemispingus_frontalis,2.833213344
Hemispingus_goeringi,2.836736542
Hemispingus_melanotis,2.772588722
Hemispingus_parodii,3.08190997
Hemispingus_reyi,2.836736542
Hemispingus_rufosuperciliaris,3.36729583
Hemispingus_superciliaris,2.63905733
Hemispingus_trifasciatus,2.63905733
Hemispingus_verticalis,2.63905733
Hemispingus_xanthophthalmus,2.48490665
Hemithraupis_flavicollis,2.549445171
Hemithraupis_guira,2.48490665
Hemithraupis_ruficapilla,2.397895273
Heterospingus_rubrifrons,3.63758616
