species,trait
acanthurus,5.104883933
albigularis,6.018420622
auffenbergi,5.325517416
bangonorum,5.714804536
baritji,5.315409876
beccarii,5.671322
bengalensis,6.047823851
bitatawa,6.417984166
boehmei,5.66016509
bogerti,5.432614774
brevicauda,4.626519926
bushi,4.879084601
caerulivirens,5.963741832
caudolineatus,4.662280878
chlorostigma,5.841236593
cumingi,5.739446914
dalubhasa,6.156978986
doreanus,6.050143749
douarrha,5.815329716
dumerilii,6.003268191
eremius,4.919454569
exanthematicus,6.053669103
finschi,5.702778154
flavescens,5.695197168
giganteus,6.617212142
gilleni,4.947534272
glauerti,5.352837985
glebopalma,5.626946631
gouldii,5.997019677
griseus,5.990472284
hamersleyensis,5.0009327
indicus,5.800839251
acanthurus_insulanicus,5.429894052
jobiensis,5.77787707
keithhornei,5.585390522
kingorum,4.622322494
komodoensis,6.982930914
kordensis,5.531500352
lirungensis,5.866468057
macraei,5.66835388
marmoratus,5.957703785
melinus,5.839981842
mertensi,5.961212233
mitchelli,5.463639067
nebulosus,5.878601624
niloticus,6.147150822
nuchalis,5.91942331
olivaceus,6.42049588
palawanensis,6.170199165
panoptes,6.359825241
pilbarensis,5.075806184
prasinus,5.574562599
primordius,4.650909838
rainerguentheri,5.791597503
rosenbergi,6.001639536
rudicollis,5.977608773
salvadorii,6.49325644
salvator,6.018157549
samarensis,6.016632841
scalaris,5.32668658
semiremex,5.524209795
semotus,5.983025278
sp_solomon_islands,6.158193074
sparnus,4.713529855
spenceri,6.170359588
spinulosus,5.74516348
stellatus,6.00264699
storri,4.89424907
timorensis,5.290065376
togianus,6.003713283
tristis,5.350413961
varius,6.435379951
yemenensis,5.99630363
yuwonoi,5.936451326
